FPS,GrayScale_Func [ms],EqualizeHist_Func [ms],Clahe_Func [ms],Face_Func [ms],Nose_Func [ms],Mouth_Func [ms],RightEye_Func [ms],REyeOpen_Func [ms],LeftEye_Func [ms],LEyeopen_Func [ms],Tracking_Func [ms],FaceFound?,NoseFound?,MouthFound?,RightEyeFound?,REyeOpenFound?,LeftEyeFound?,LEyeopenFound?
16,3.12146,0.917792,0,43.4507,2.58884,1.91626,1.57211,2.35447,2.21424,3.49764,13.0982,1,1,1,1,0,1,0
16.1429,2.30581,0.899347,0,43.4507,1.3098,1.88433,1.5057,2.35447,1.92073,3.49764,7.03325,1,1,1,1,0,1,0
16.2857,1.28559,0.900867,0,43.4507,1.32976,1.8228,5.87109,2.35447,1.94076,3.49764,7.52462,1,1,1,1,0,1,0
14.375,1.31961,0.898947,0,43.4507,1.29685,2.36133,1.52984,2.35447,1.89113,3.49764,9.08998,1,1,1,1,0,1,0
14.5,6.96067,0.996066,0,43.4507,1.75595,1.46461,1.55005,2.35447,1.80312,3.49764,6.95456,1,1,1,1,0,1,0
14.625,1.53168,1.0799,0,43.4507,1.59869,1.80666,4.70463,2.35447,1.913,3.49764,8.53607,1,1,1,1,0,1,0
14.75,1.08915,0.907108,0,43.4507,2.23058,2.53287,1.63538,2.35447,1.92597,3.49764,10.3037,1,1,1,1,0,1,0
14.875,5.93995,1.00976,0,43.4507,2.85792,1.8142,1.55137,2.35447,2.17583,3.49764,7.04116,1,1,1,1,0,1,0
15,1.06788,0.895867,0,43.4507,3.27852,2.72598,1.8961,2.35447,1.84301,3.49764,12.3199,1,1,1,1,0,1,0
15.125,0.692869,0.795026,0,43.4507,6.80249,2.01324,1.99469,2.35447,2.51058,3.49764,7.45345,1,1,1,1,0,1,0
15.25,1.14622,0.940055,0,43.4507,5.99455,2.27534,1.98613,2.35447,2.7328,3.49764,9.05545,1,1,1,1,0,1,0
15.375,2.77521,0.885149,0,43.4507,8.3931,1.95074,2.12813,2.35447,2.58686,3.49764,7.74254,1,1,1,1,0,1,0
15.5,5.21162,0.903163,0,43.4507,6.20617,2.09723,2.17687,2.35447,2.4977,3.49764,9.32551,1,1,1,1,0,1,0
15.625,4.82398,1.52382,0,43.4507,6.28197,2.69041,3.27588,2.35447,2.77104,3.49764,6.80204,1,1,1,1,0,1,0
